1513115609527, 0.07501221, 0.07348633, 0.989563, METAWEAR, SENSOR_ACCEL
1513115609575, 0.073791504, 0.074035645, 0.9906616, METAWEAR, SENSOR_ACCEL
1513115609623, 0.07489014, 0.075683594, 0.99108887, METAWEAR, SENSOR_ACCEL
1513115609674, 0.07513428, 0.07635498, 0.989624, METAWEAR, SENSOR_ACCEL
1513115609722, 0.07476807, 0.07489014, 0.9909668, METAWEAR, SENSOR_ACCEL
1513115609771, 0.07446289, 0.075683594, 0.989624, METAWEAR, SENSOR_ACCEL
1513115609864, 0.07519531, 0.07537842, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115609916, 0.07507324, 0.07556152, 0.98883057, METAWEAR, SENSOR_ACCEL
1513115609964, 0.0758667, 0.075927734, 0.9885254, METAWEAR, SENSOR_ACCEL
1513115610013, 0.07574463, 0.07397461, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115610110, 0.07470703, 0.07720947, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115610158, 0.07513428, 0.07550049, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115610206, 0.07434082, 0.074279785, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115610255, 0.07519531, 0.07550049, 0.98913574, METAWEAR, SENSOR_ACCEL
1513115610303, 0.07623291, 0.07537842, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115610352, 0.07507324, 0.074401855, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115610401, 0.07470703, 0.074401855, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115610402, 0.07458496, 0.07495117, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115610450, 0.07537842, 0.07678223, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115610499, 0.07550049, 0.07513428, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115610547, 0.07550049, 0.07513428, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115610552, 0.07501221, 0.07598877, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115610597, 0.07531738, 0.0748291, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115610600, 0.07470703, 0.07470703, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115610649, 0.07550049, 0.075683594, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115610695, 0.074401855, 0.07531738, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115610742, 0.074645996, 0.07434082, 0.9907837, METAWEAR, SENSOR_ACCEL
1513115610746, 0.07385254, 0.07562256, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115610791, 0.07574463, 0.074645996, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115610840, 0.0748291, 0.0769043, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115610890, 0.07501221, 0.07373047, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115610937, 0.07611084, 0.074645996, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115610941, 0.07574463, 0.07543945, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115610989, 0.07446289, 0.073913574, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115611083, 0.07562256, 0.07574463, 0.9909668, METAWEAR, SENSOR_ACCEL
1513115611133, 0.0758667, 0.074035645, 0.9904175, METAWEAR, SENSOR_ACCEL
1513115611181, 0.0758667, 0.07696533, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115611183, 0.07513428, 0.07672119, 0.98986816, METAWEAR, SENSOR_ACCEL
