1518705270325, -0.004, 0.108, 1.054, METAWEAR, SENSOR_ACCEL
1518705270475, -0.005, 0.109, 1.053, METAWEAR, SENSOR_ACCEL
1518705270525, -0.004, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518706397355, -0.002, 0.113, 1.051, METAWEAR, SENSOR_ACCEL
1518706397411, -0.005, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518706397453, -0.008, 0.108, 1.049, METAWEAR, SENSOR_ACCEL
1518706397456, -0.007, 0.104, 1.051, METAWEAR, SENSOR_ACCEL
1518706397508, -0.008, 0.107, 1.05, METAWEAR, SENSOR_ACCEL
1518706397556, -0.005, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518706397603, -0.003, 0.116, 1.051, METAWEAR, SENSOR_ACCEL
1518706397653, -0.007, 0.108, 1.05, METAWEAR, SENSOR_ACCEL
1518706519454, -0.585, 0.555, 0.556, METAWEAR, SENSOR_ACCEL
1518706519504, -0.465, 0.919, 0.381, METAWEAR, SENSOR_ACCEL
1518706519554, -0.582, 0.791, 0.456, METAWEAR, SENSOR_ACCEL
1518706519604, -0.463, 0.631, 0.424, METAWEAR, SENSOR_ACCEL
1518706519704, -0.299, 1.09, 0.396, METAWEAR, SENSOR_ACCEL
1518706519854, -0.266, 0.795, 0.54, METAWEAR, SENSOR_ACCEL
1518706520003, -0.484, 0.744, 0.361, METAWEAR, SENSOR_ACCEL
1518706520153, -0.284, 0.97, 0.515, METAWEAR, SENSOR_ACCEL
1518706520353, -0.329, 0.752, 0.604, METAWEAR, SENSOR_ACCEL
1518706520554, -0.384, 0.842, 0.621, METAWEAR, SENSOR_ACCEL
1518706520704, -0.244, 1.035, 0.59, METAWEAR, SENSOR_ACCEL
1518706520854, -0.281, 0.777, 0.668, METAWEAR, SENSOR_ACCEL
1518706521004, -0.542, 0.579, 0.757, METAWEAR, SENSOR_ACCEL
1518706521153, -0.294, 0.94, 0.494, METAWEAR, SENSOR_ACCEL
1518706521354, -0.57, 0.633, 0.659, METAWEAR, SENSOR_ACCEL
1518706521553, -0.593, 0.378, 0.738, METAWEAR, SENSOR_ACCEL
1518706521604, -0.478, 0.77, 0.572, METAWEAR, SENSOR_ACCEL
1518706521753, -0.534, 0.416, 1.061, METAWEAR, SENSOR_ACCEL
1518706521903, -0.198, 0.333, 0.988, METAWEAR, SENSOR_ACCEL
1518706521953, -0.114, 0.234, 0.997, METAWEAR, SENSOR_ACCEL
1518706522104, -0.027, -0.01, 1.194, METAWEAR, SENSOR_ACCEL
1518706522153, -0.05, 0.165, 1.076, METAWEAR, SENSOR_ACCEL
1518706522311, 0.024, 0.13, 1.001, METAWEAR, SENSOR_ACCEL
1518706522353, -0.072, 0.138, 1.13, METAWEAR, SENSOR_ACCEL
1518706522503, -0.031, 0.227, 1.046, METAWEAR, SENSOR_ACCEL
1518706522557, -0.08, 0.248, 1.047, METAWEAR, SENSOR_ACCEL
1518706522653, 0.004, 0.109, 1.038, METAWEAR, SENSOR_ACCEL
