1518705162372, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162374, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705162421, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162422, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162426, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705162468, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162474, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162518, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162524, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162528, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162571, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162572, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705162622, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162623, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162626, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162670, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705162675, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705162719, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162730, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162736, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162771, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705162772, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705162823, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162825, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162827, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705162868, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162873, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162918, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
