1518705166318, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705166324, -0.009, 0.122, 1.025, METAWEAR, SENSOR_ACCEL
1518705166369, -0.007, 0.126, 1.022, METAWEAR, SENSOR_ACCEL
1518705166422, -0.008, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705166467, -0.009, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705166518, -0.011, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705166534, -0.007, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705166573, -0.007, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
1518705166626, -0.008, 0.128, 1.02, METAWEAR, SENSOR_ACCEL
1518705166668, -0.009, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705166718, -0.009, 0.119, 1.024, METAWEAR, SENSOR_ACCEL
1518705166732, -0.009, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705166772, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705166821, -0.005, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
1518705166917, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705166923, -0.012, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705166928, -0.011, 0.119, 1.024, METAWEAR, SENSOR_ACCEL
1518705166972, -0.005, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705167024, -0.007, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705167068, -0.009, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705167118, -0.009, 0.121, 1.024, METAWEAR, SENSOR_ACCEL
1518705167125, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705167170, -0.009, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705167222, -0.006, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
1518705167268, -0.006, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705167317, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705167322, -0.011, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705167371, -0.009, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705167421, 0.009, 0.02, 1.027, METAWEAR, SENSOR_ACCEL
1518705167468, 0.017, -0.117, 1.041, METAWEAR, SENSOR_ACCEL
1518705167517, 0.06, 0.188, 1.022, METAWEAR, SENSOR_ACCEL
1518705167523, -0.018, 0.244, 1.015, METAWEAR, SENSOR_ACCEL
1518705167572, -0.067, 0.11, 1.02, METAWEAR, SENSOR_ACCEL
1518705167620, -0.052, 0.055, 1.027, METAWEAR, SENSOR_ACCEL
1518705167668, 0.03, 0.134, 1.02, METAWEAR, SENSOR_ACCEL
1518705167717, 0.021, 0.29, 1.012, METAWEAR, SENSOR_ACCEL
1518705167722, -0.015, 0.218, 1.016, METAWEAR, SENSOR_ACCEL
1518705167772, -0.01, 0.095, 1.023, METAWEAR, SENSOR_ACCEL
1518705167823, -0.007, 0.118, 1.022, METAWEAR, SENSOR_ACCEL
1518705167869, -0.006, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705167918, -0.007, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705167925, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705167976, -0.008, 0.119, 1.024, METAWEAR, SENSOR_ACCEL
1518705168022, -0.034, 0.116, 1.021, METAWEAR, SENSOR_ACCEL
1518705168071, -0.096, 0.122, 1.02, METAWEAR, SENSOR_ACCEL
1518705168117, 0.011, -0.014, 1.034, METAWEAR, SENSOR_ACCEL
1518705168219, 0.077, -0.031, 1.034, METAWEAR, SENSOR_ACCEL
1518705168226, -0.089, -0.012, 1.028, METAWEAR, SENSOR_ACCEL
1518705168229, -0.015, -0.146, 1.042, METAWEAR, SENSOR_ACCEL
1518705168271, 0.005, -0.067, 1.037, METAWEAR, SENSOR_ACCEL
1518705168318, -0.048, 0.1, 1.012, METAWEAR, SENSOR_ACCEL
1518705168368, -0.06, 0.273, 0.992, METAWEAR, SENSOR_ACCEL
1518705168374, 0.015, 0.315, 1.016, METAWEAR, SENSOR_ACCEL
1518705168421, 0.045, 0.307, 1.001, METAWEAR, SENSOR_ACCEL
1518705168469, 0.036, 0.307, 1.014, METAWEAR, SENSOR_ACCEL
1518705168517, 0.124, 0.277, 1.019, METAWEAR, SENSOR_ACCEL
1518705168570, -0.016, 0.161, 1.019, METAWEAR, SENSOR_ACCEL
1518705168587, -0.021, 0.103, 1.024, METAWEAR, SENSOR_ACCEL
1518705168622, -0.006, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705168671, -0.005, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705168718, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705168770, -0.008, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705168779, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705168822, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
